rank,asin,title,price,rating,reviews_count,url
#1,B0GWFF75Z5,"口袋軟管彈道 100 英尺(約 100 公尺)可擴展花園軟管,附口袋旋轉連接器,防爆套採用防彈纖維加固,重量輕,不扭結,緊湊,抗紫外線,如電視上所見 | Anti-burst sleeve reinforced with bulletproof fiber, 360° swiveling pocket pivot connector, lightweight compact design","TWD 2,217.46",4.3 顆星，最高 5 顆星，3,525 個評分,https://www.amazon.com/dp/B0GWFF75Z5
#2,B0H68MTJV6,"肉類溫度計數位,1-2 秒即時讀取,燒烤,烹飪,食物 | 快速反應、防水、背光顯示器,適用於燒烤、氣炸鍋、吸煙器、廚房小工具、送給爸爸男士的禮物,黑色",TWD 316.51,4.7 顆星，最高 5 顆星，436 個評分,N/A,https://www.amazon.com/dp/B0H68MTJV6
#3,B0FVLPXRNY,害蟲囓齒動物驅蚊劑 24 入 薄荷驅蚊劑 適用於老鼠大鼠蜘蛛蟑螂螞蟻 松鼠害蟲 室內和室外 天然小鼠威懾 替換陷阱中毒 家庭和寵物安全 綠色,TWD 760.06,4.1 顆星，最高 5 顆星，1,823 個評分,https://www.amazon.com/dp/B0FVLPXRNY
#4,B0GX5F5SYS,"FAOGO 無繩吹葉機 附 2 個電池和充電器 - 990,000 RPM 電動手持鼓風機,輕量,適用於草坪、庭院、庭院、庭院、花園護理 - 橙色","TWD 1,900.32",4.4 顆星，最高 5 顆星，776 個評分,N/A,https://www.amazon.com/dp/B0GX5F5SYS
#5,B0GZTN9882,"水果飛蠅陷阱 適用於室內 藍色 Gnat 陷阱 室內 附吸力和計時器 | Uv Light Lures 水果飛蠅/侏儒,計時器 6/12 小時,插入帶吸力的陷阱,兒童和寵物適用,低噪音,10 個補充裝","TWD 1,140.25",4.2 顆星，最高 5 顆星，772 個評分,N/A,https://www.amazon.com/dp/B0GZTN9882
#6,B0H1Z8BL6T,"室內飛行昆蟲陷阱(2 個起動器和 6 個補充盒),紫外線燈捕蟲器,適用於水果蒼蠅、Gnats 和小飛蟲,靜音,無扎,無髒亂",TWD 940.65,3.9 顆星，最高 5 顆星，396 個評分,N/A,https://www.amazon.com/dp/B0H1Z8BL6T
#7,B0H3HHXFSW,"12 入 3D 蜻蜓夾,假蜻蜓,附樁,逼真的塑膠蜻蜓花園裝飾品,飛掠奪夾子,適用於帽子、寵物、馬、鹿、庭院、庭院、室內和室外裝飾",TWD 574.72,4.4 顆星，最高 5 顆星，1,197 個評分,https://www.amazon.com/dp/B0H3HHXFSW
#8,B0GZZY4HT6,害蟲驅蚊袋 薄荷油 適用於老鼠、蟑螂、螞蟻、蜘蛛、松鼠、老鼠、老鼠、害蟲控制 室內 戶外 天然老鼠威懾 替換陷阱 毒藥 家庭寵物安全 10 入,TWD 823.43,4.6 顆星，最高 5 顆星，135 個評分,N/A,https://www.amazon.com/dp/B0GZZY4HT6
#9,B0HB4BYBTJ,"10 入飛行陷阱補充劑,相容於飛行昆蟲陷阱補充裝 | 適用於 M364 M364A 的昆蟲替換套件和最大尺寸完全相容",TWD 360.86,4.7 顆星，最高 5 顆星，1,006 個評分,https://www.amazon.com/dp/B0HB4BYBTJ
#10,B0GVQ45171,"Spectracide 發泡黃蜂和大黃蜂殺手 14 盎司(約 396.9 毫升),按觸點殺死,3 入 | Blanketing 泡棉配方可殺死黃蜂、黃蜂、黃夾克等,高達 27 英尺的噴射噴霧,適合戶外使用,不會染色",TWD 536.38,4.6 顆星，最高 5 顆星，587 個評分,N/A,https://www.amazon.com/dp/B0GVQ45171
